year,team,seed,adj_em,adj_o,adj_d,tempo,sos,barthag,wab,elite_sos,ncsos,conf_winpct
2012,South Florida,12,13.29,103.36,90.07,168.0,0.6989,0.82967,0.01,0.7049,0.5546,0.6667
2012,Southern Miss,9,10.58,111.3,100.72,21.0,0.6074,0.759183,1.27,0.8042,0.5584,0.6875
2012,St. Bonaventure,14,14.25,112.13,97.88,278.0,0.6025,0.826728,-1.04,0.7814,0.5084,0.625
2012,Syracuse,1,24.65,117.69,93.03,5.0,0.6979,0.937214,10.81,0.7125,0.5136,0.9444
2012,Temple,5,16.43,114.05,97.61,38.0,0.679,0.856854,4.22,0.7482,0.6565,0.8
2012,Texas,11,13.69,111.58,97.89,141.0,0.6816,0.818364,0.83,0.6897,0.5194,0.5
2012,UNC Asheville,16,3.97,108.79,104.82,92.0,0.4274,0.605356,-3.23,0.8608,0.666,0.8889
2012,UNLV,6,15.86,109.16,93.3,126.0,0.6066,0.858857,2.83,0.7641,0.5254,0.6429
2012,VCU,12,14.24,107.36,93.12,49.0,0.5369,0.837101,2.32,0.8243,0.5642,0.8333
2012,Vanderbilt,5,21.89,116.34,94.45,233.0,0.7027,0.916651,4.03,0.6917,0.6064,0.625
2012,Vermont,16,3.81,103.88,100.07,192.0,0.3911,0.605816,-5.36,0.8792,0.484,0.8125
2012,Virginia,10,15.42,104.53,89.12,179.0,0.6158,0.862354,1.97,0.7433,0.4462,0.5625
2012,West Virginia,10,13.59,111.44,97.85,215.0,0.6985,0.816932,-0.2,0.7223,0.5673,0.5
2012,Western Kentucky,16,-2.16,97.81,99.97,132.0,0.5169,0.43748,-10.18,0.8362,0.5933,0.4375
2012,Wichita State,5,23.21,116.78,93.57,244.0,0.6118,0.927429,4.43,0.802,0.6137,0.8889
2012,Wisconsin,4,23.71,114.16,90.45,231.0,0.6815,0.935654,4.82,0.6788,0.4715,0.6667
2012,Xavier,10,11.39,108.21,96.82,32.0,0.6848,0.782205,0.7,0.7281,0.6304,0.625
2013,Akron,12,9.07,104.79,95.72,12.0,0.5154,0.739147,0.56,0.8401,0.5362,0.875
2013,Albany,15,2.26,102.65,100.39,54.0,0.4124,0.563562,-4.34,0.8675,0.3786,0.5625
2013,Arizona,6,21.91,115.66,93.75,138.0,0.7016,0.917994,4.58,0.7258,0.5668,0.6667
2013,Belmont,11,12.93,110.35,97.41,97.0,0.49,0.807468,0.35,0.8338,0.6278,0.875
2013,Bucknell,11,11.71,106.14,94.44,42.0,0.4752,0.793099,1.25,0.8578,0.568,0.8571
2013,Butler,6,15.81,110.36,94.55,6.0,0.6802,0.855452,4.8,0.6976,0.5858,0.6471
2013,California,12,12.67,106.53,93.86,47.0,0.708,0.810871,0.52,0.7058,0.5775,0.6667
2013,Cincinnati,10,15.68,105.54,89.86,155.0,0.678,0.864134,1.69,0.6978,0.4569,0.5
2013,Colorado,10,14.38,106.08,91.69,105.0,0.7144,0.842348,1.42,0.7058,0.581,0.5556
2013,Colorado State,8,17.87,117.78,99.91,88.0,0.6574,0.868984,1.97,0.7417,0.5256,0.6875
2013,Creighton,7,21.22,117.65,96.43,143.0,0.6441,0.9078,3.6,0.7557,0.5816,0.7222
2013,Davidson,14,12.64,112.14,99.5,213.0,0.4128,0.798298,-1.25,0.8582,0.6245,0.9444
2013,Duke,2,26.54,119.54,92.99,64.0,0.7298,0.947213,7.6,0.6777,0.6768,0.7778
2013,Florida,3,29.75,116.88,87.13,336.0,0.6723,0.967016,4.2,0.7395,0.6115,0.7778
2013,Florida Gulf Coast,15,7.29,104.76,97.47,115.0,0.4563,0.696298,-3.87,0.819,0.5887,0.7222
2013,Georgetown,2,22.13,108.66,86.53,93.0,0.6821,0.932066,6.51,0.6869,0.4497,0.7778
2013,Gonzaga,1,28.46,120.09,91.63,89.0,0.6074,0.957314,7.78,0.772,0.6349,1.0
2013,Harvard,14,5.42,106.69,101.27,26.0,0.5243,0.645536,-2.51,0.8036,0.6108,0.7857
2013,Illinois,7,16.59,110.83,94.25,80.0,0.7292,0.865824,2.38,0.6309,0.5306,0.4444
2013,Indiana,1,30.8,121.99,91.19,235.0,0.6948,0.965996,7.73,0.669,0.4613,0.7778
2013,Iona,15,7.89,114.12,106.24,249.0,0.5392,0.694994,-5.67,0.8355,0.6155,0.6111
2013,Iowa State,10,18.46,118.25,99.79,207.0,0.6428,0.875698,0.75,0.7112,0.4778,0.6111
2013,James Madison,16,-0.87,99.92,100.79,59.0,0.4478,0.475217,-8.65,0.8793,0.4292,0.6111
2013,Kansas,1,25.13,112.76,87.63,102.0,0.6754,0.947807,7.53,0.7101,0.6141,0.7778
2013,Kansas State,4,18.41,114.34,95.93,18.0,0.6389,0.882758,5.41,0.7009,0.4712,0.7778
2013,La Salle,13,15.52,113.24,97.72,77.0,0.6442,0.844831,0.47,0.7456,0.5078,0.6875
2013,Louisville,1,31.01,117.04,86.03,123.0,0.7285,0.971813,8.97,0.6634,0.5731,0.7778
2013,Marquette,3,19.33,114.01,94.69,21.0,0.7097,0.894354,4.46,0.6667,0.5202,0.7778
2013,Memphis,6,16.04,107.54,91.5,7.0,0.5753,0.865,4.74,0.7959,0.5501,1.0
2013,Miami (FL),2,21.17,113.6,92.42,53.0,0.7088,0.914657,6.35,0.7173,0.634,0.8333
2013,Michigan,4,27.31,122.57,95.26,60.0,0.7205,0.947811,6.19,0.6295,0.4836,0.6667
2013,Michigan State,3,23.11,112.38,89.28,69.0,0.7389,0.933815,6.69,0.6233,0.5299,0.7222
2013,Minnesota,11,19.61,113.67,94.05,211.0,0.7394,0.898277,2.1,0.6387,0.5842,0.4444
2013,Missouri,9,17.93,114.56,96.63,227.0,0.6273,0.876229,1.26,0.7342,0.5056,0.6111
2013,Montana,13,-0.04,103.03,103.07,1.0,0.3982,0.498809,-1.25,0.8658,0.6765,0.95
2013,NC State,8,16.82,116.39,99.57,111.0,0.6684,0.857552,0.0,0.726,0.543,0.6111
2013,New Mexico,3,15.65,108.21,92.57,2.0,0.687,0.857689,6.99,0.7429,0.6363,0.8125
2013,New Mexico State,13,7.28,103.87,96.58,84.0,0.5154,0.697632,-2.86,0.839,0.6019,0.7778
2013,North Carolina,8,18.19,112.73,94.55,122.0,0.6882,0.883206,2.55,0.6952,0.506,0.6667
2013,North Carolina A&T,16,-4.94,92.04,96.98,171.0,0.3538,0.354022,-11.27,0.8857,0.4583,0.5
2013,Northwestern State,14,4.46,104.42,99.96,150.0,0.6883,0.622982,-5.61,0.6707,0.4493,0.2222
